time, x0, y0, z0, x1, y1, z1 
0.00011, -0.00946, -0.81944, 0.54955, 0.00000, 0.00000, -nan  
0.00060, -0.00753, -0.81974, 0.55216, 0.00000, 0.00000, -nan  
0.00076, -0.00654, -0.82037, 0.54916, 0.00000, 0.00000, -nan  
0.00092, -0.00704, -0.82026, 0.55218, 0.00000, 0.00000, -nan  
0.00108, -0.00814, -0.82504, 0.55250, 0.00000, 0.00000, -nan  
0.00124, -0.00750, -0.82216, 0.55309, 0.00000, 0.00000, -nan  
0.00139, -0.00605, -0.82014, 0.55183, 0.00000, 0.00000, -nan  
0.00155, -0.00868, -0.81789, 0.55367, 0.00000, 0.00000, -nan  
0.00171, -0.00828, -0.81877, 0.55338, 0.00000, 0.00000, -nan  
0.00186, -0.00847, -0.81816, 0.55254, 0.00000, 0.00000, -nan  
0.00202, -0.00898, -0.82207, 0.55376, 0.00000, 0.00000, -nan  
0.00218, -0.00776, -0.82167, 0.55134, 0.00000, 0.00000, -nan  
0.00233, -0.00904, -0.81987, 0.55147, 0.00000, 0.00000, -nan  
0.00249, -0.00971, -0.82148, 0.55239, 0.00000, 0.00000, -nan  
0.00265, -0.00658, -0.81932, 0.55338, 0.00000, 0.00000, -nan  
0.00280, -0.00652, -0.81928, 0.55367, 0.00000, 0.00000, -nan  
0.00296, -0.00666, -0.82062, 0.55286, 0.00000, 0.00000, -nan  
0.00312, -0.00832, -0.82018, 0.55311, 0.00000, 0.00000, -nan  
0.00327, -0.00675, -0.82216, 0.55506, 0.00000, 0.00000, -nan  
0.00343, -0.00675, -0.82069, 0.55574, 0.00000, 0.00000, -nan  
0.00358, -0.00805, -0.82043, 0.55323, 0.00000, 0.00000, -nan  
0.00374, -0.00441, -0.81865, 0.55304, 0.00000, 0.00000, -nan  
0.00390, -0.00626, -0.81659, 0.55283, 0.00000, 0.00000, -nan  
0.00406, -0.00408, -0.82010, 0.55593, 0.00000, 0.00000, -nan  
0.00421, -0.00525, -0.81856, 0.55508, 0.00000, 0.00000, -nan  
0.00437, -0.00502, -0.81772, 0.55260, 0.00000, 0.00000, -nan  
0.00455, -0.00463, -0.81944, 0.55265, 0.00000, 0.00000, -nan  
0.00471, -0.00769, -0.82111, 0.55330, 0.00000, 0.00000, -nan  
0.00487, -0.00982, -0.81924, 0.55277, 0.00000, 0.00000, -nan  
0.00502, -0.00891, -0.81785, 0.55603, 0.00000, 0.00000, -nan  
0.00518, -0.00595, -0.81621, 0.55609, 0.00000, 0.00000, -nan  
0.00533, -0.01139, -0.82153, 0.55403, 0.00000, 0.00000, -nan  
0.00548, -0.00774, -0.81758, 0.55698, 0.00000, 0.00000, -nan  
0.00563, -0.00463, -0.82073, 0.55544, 0.00000, 0.00000, -nan  
0.00588, -0.00721, -0.81589, 0.55389, 0.00000, 0.00000, -nan  
0.00640, -0.01066, -0.81644, 0.55496, 0.00000, 0.00000, -nan  
0.00737, -0.00629, -0.81930, 0.55685, 0.00000, 0.00000, -nan  
