time, x, y, z 
0.000096, -0.032234, -0.969353, 0.202484
0.000527, -0.031815, -0.969677, 0.202389
0.000755, -0.030231, -0.967827, 0.203037
0.000976, -0.032463, -0.969334, 0.202618
0.001198, -0.031338, -0.972633, 0.202389
0.001418, -0.034180, -0.970440, 0.203323
0.001638, -0.033665, -0.971088, 0.204105
0.001812, -0.032349, -0.969105, 0.203342
0.001910, -0.032501, -0.967426, 0.204849
0.002026, -0.030518, -0.970135, 0.204811
0.002125, -0.030346, -0.971889, 0.203400
0.002224, -0.035591, -0.971107, 0.205593
0.002322, -0.036335, -0.971966, 0.204487
0.002419, -0.032616, -0.973473, 0.204830
0.002516, -0.032406, -0.970802, 0.202389
0.002612, -0.029411, -0.971222, 0.205116
0.002708, -0.030346, -0.969028, 0.205402
0.002805, -0.032330, -0.972595, 0.205765
0.002902, -0.031090, -0.972462, 0.204239
0.002998, -0.032558, -0.970993, 0.207081
0.003095, -0.030823, -0.972443, 0.206642
0.003192, -0.031395, -0.971603, 0.206089
0.003289, -0.032921, -0.972233, 0.203342
0.003385, -0.032349, -0.974522, 0.202236
0.003482, -0.029392, -0.972767, 0.203724
0.003578, -0.034962, -0.971432, 0.203037
0.003674, -0.037460, -0.971012, 0.204601
0.003771, -0.033379, -0.971165, 0.203304
0.003867, -0.032291, -0.971546, 0.203800
0.003963, -0.030231, -0.972729, 0.201588
0.004060, -0.032082, -0.971317, 0.204315
0.004156, -0.033703, -0.971127, 0.205708
0.000404, -0.025272, -0.976067, 0.194378
0.000641, -0.022335, -0.977421, 0.195541
0.000865, -0.021515, -0.976257, 0.194912
0.001087, -0.027275, -0.974426, 0.193672
0.001308, -0.023975, -0.974522, 0.193920
0.001528, -0.022984, -0.974560, 0.196724
0.001759, -0.019779, -0.974464, 0.192089
0.001861, -0.022030, -0.974903, 0.192451
0.001958, -0.022697, -0.976372, 0.192299
0.002077, -0.023518, -0.974789, 0.193443
0.002176, -0.021973, -0.974693, 0.192146
0.002274, -0.023460, -0.973930, 0.192204
0.002371, -0.022507, -0.974541, 0.193481
0.002467, -0.025558, -0.975647, 0.193119
0.002564, -0.023975, -0.976009, 0.192890
0.002660, -0.025673, -0.975914, 0.193577
0.002757, -0.025215, -0.974560, 0.194225
0.002854, -0.021286, -0.975037, 0.195446
0.002950, -0.023022, -0.975952, 0.196342
0.003046, -0.022678, -0.976601, 0.193577
0.003144, -0.021286, -0.977116, 0.193634
0.003241, -0.018940, -0.975780, 0.194435
0.003337, -0.020351, -0.974865, 0.192661
0.003434, -0.020390, -0.974960, 0.194454
0.003530, -0.021744, -0.978508, 0.192204
0.003626, -0.023861, -0.975685, 0.195751
0.003722, -0.023441, -0.973110, 0.195904
0.003819, -0.024853, -0.976582, 0.195293
0.003915, -0.020828, -0.975285, 0.195446
0.004011, -0.023403, -0.974655, 0.196018
0.004107, -0.020866, -0.976219, 0.195026
0.004204, -0.024548, -0.976715, 0.194530
