time, x0, y0, z0, x1, y1, z1 
0.00000, -0.14589, -0.29730, 0.29446, 0.20041, -0.12070, 0.53694  
0.00100, -0.06218, -0.40924, 0.18612, 0.19186, -0.11747, 0.51275  
0.00200, -0.06872, -0.52040, -0.00994, 0.20359, -0.13420, 0.44546  
0.00300, -0.06973, -0.52608, -0.08789, 0.13483, -0.09220, 0.48367  
0.00400, -0.04732, -0.49026, -0.12735, 0.13216, -0.10942, 0.47787  
0.00500, -0.00975, -0.52914, -0.13517, 0.14917, -0.07730, 0.49372  
0.00600, -0.02226, -0.44321, -0.15951, 0.14114, -0.10258, 0.47392  
0.00700, -0.08471, -0.43385, -0.13006, 0.13004, -0.07195, 0.47731  
0.00800, 0.03628, -0.55199, -0.14097, 0.11906, -0.06578, 0.48651  
0.00900, -0.04168, -0.55710, -0.11137, 0.11660, -0.06540, 0.48403  
0.01000, -0.02846, -0.47129, -0.14900, 0.11839, -0.06548, 0.48262  
0.01100, -0.06561, -0.42177, -0.15474, 0.09880, -0.05795, 0.48847  
0.01200, -0.02188, -0.46886, -0.14584, 0.12262, -0.04416, 0.48416  
0.01300, -0.03847, -0.44874, -0.08888, 0.09975, -0.04219, 0.47689  
0.01400, -0.03683, -0.38677, -0.07504, 0.10509, -0.03017, 0.47615  
0.01500, -0.04444, -0.35151, -0.08247, 0.09314, -0.01553, 0.50125  
0.01600, -0.12848, -0.35658, -0.05264, 0.09668, -0.00429, 0.49097  
0.01700, -0.07704, -0.32995, -0.02783, 0.07183, -0.00626, 0.49126  
0.01800, -0.12106, -0.23415, 0.00219, 0.07627, 0.01381, 0.50863  
0.01900, -0.11457, -0.14887, -0.00116, 0.06105, 0.00916, 0.49648  
0.02000, -0.09296, -0.12789, 0.01110, 0.06479, 0.01480, 0.50093  
0.02100, -0.10586, -0.16060, 0.10990, 0.07803, 0.03376, 0.50013  
0.02200, -0.16998, -0.06111, 0.13767, 0.07584, 0.04646, 0.51487  
0.02300, -0.20008, -0.00546, 0.15430, 0.09092, 0.04578, 0.50371  
0.02400, -0.11209, -0.00175, 0.19085, 0.09007, 0.03510, 0.48559  
0.02500, -0.17246, 0.01404, 0.26390, 0.10004, 0.04675, 0.49673  
0.02600, -0.15480, 0.08434, 0.30975, 0.08131, 0.03569, 0.49421  
0.02700, -0.21727, 0.14898, 0.35862, 0.08604, 0.04618, 0.50179  
0.02800, -0.13842, 0.11116, 0.40728, 0.09766, 0.04534, 0.48443  
0.02900, -0.39724, 0.06998, 0.46173, -0.11957, -0.04862, 0.40699  
0.03000, -0.55943, -0.12222, 0.49782, 0.06416, -0.10193, 0.13441  
0.03100, 0.72327, 0.39860, 1.52582, -0.18421, -0.20361, 0.30703  
0.03200, 1.48645, 1.68732, 0.97208, 0.04999, -0.12793, 0.32331  
0.03300, 1.15849, 2.18916, 0.52958, 0.05337, -0.13195, 0.21767  
0.03400, 0.14914, 1.94887, -0.23617, 0.12817, -0.11421, 0.27496  
0.03500, 0.05281, 1.04572, -0.76977, -0.03069, -0.07200, 0.28414  
0.03600, -1.06171, 0.58006, -1.24157, -0.10967, -0.07267, 0.16289  
0.03700, -0.21669, 0.74684, -2.01517, -0.19447, -0.10544, 0.24382  
0.03800, -0.20998, 1.34037, -2.32498, -0.18173, -0.10742, 0.31378  
0.03900, -0.14002, 1.52573, -2.94132, -0.13193, -0.03649, 0.25883  
0.04000, -0.71196, 1.38304, -2.96942, -0.08638, -0.04614, 0.23872  
0.04100, -0.81194, 1.50318, -2.75604, -0.11005, -0.03754, 0.23733  
0.04200, -0.25955, 1.61983, -2.77306, -0.15842, 0.03635, 0.24620  
0.04300, -0.25955, 1.61983, -2.77306, -0.15842, 0.03635, 0.24620  
0.04400, -0.25955, 1.61983, -2.77306, -0.15842, 0.03635, 0.24620  
0.04500, -0.09457, 1.58993, -2.65570, -0.21086, 0.10778, 0.32240  
0.04600, -0.09457, 1.58993, -2.65570, -0.21086, 0.10778, 0.32240  
0.04700, -0.63910, 1.14103, -2.04081, -0.15219, 0.07229, 0.36055  
0.04800, 0.24431, 1.55514, -0.84719, 0.04637, 0.10124, 0.28521  
0.04900, -0.07639, 0.75689, -0.04360, -0.22367, 0.13845, 0.30933  
0.05000, -0.38837, 0.51701, 0.06935, -0.22242, 0.11784, 0.32768  
0.05100, -0.46535, 0.47073, -0.00029, -0.07292, 0.16182, 0.38082  
0.05200, -0.13462, 0.54831, -0.31904, 0.11639, 0.17101, 0.35570  
0.05300, -0.22369, 0.75708, -0.29966, 0.07370, 0.09136, 0.29997  
0.05400, -0.48466, 0.83847, -0.09462, 0.08755, 0.05730, 0.30613  
0.05500, -0.60381, 0.94044, -0.07771, 0.10410, 0.03239, 0.36242  
0.05600, -0.67932, 0.85724, 0.16245, 0.15182, 0.08633, 0.40539  
0.05700, -0.26012, 0.41950, 0.34855, 0.13496, 0.06460, 0.30836  
0.05800, -0.53377, 0.71486, 1.02066, 0.13157, 0.04545, 0.35652  
0.05900, -0.43161, 0.27401, 1.25862, 0.11913, 0.03084, 0.36568  
0.06000, -0.26394, 0.00948, 1.39458, 0.15118, -0.01780, 0.39680  
0.06100, -0.08280, -0.00269, 1.56233, 0.21019, -0.01631, 0.36423  
0.06200, -0.35202, -0.25433, 1.77567, 0.22392, -0.01028, 0.37159  
0.06300, -0.21112, -0.29007, 1.73941, 0.28955, -0.02113, 0.40941  
0.06400, -0.59401, -0.35501, 1.62998, 0.15165, 0.04536, 0.44836  
0.06500, -0.12718, -0.37830, 1.48298, 0.31979, 0.00683, 0.31786  
0.06600, -1.07677, -0.59765, 1.74221, 0.17441, -0.01537, 0.43396  
0.06700, -0.58619, -0.46160, 1.62064, 0.17567, -0.07322, 0.42933  
